Event,Good,Evil,Neutral,Impact,Self_Impact,Stat,Good1,Good2,Evil1,Skill
You notice a kid getting bullied.,Stand up to the bullies.,Help the bullies.,Run away!,4,4,Health,You beat up the bullies!,The kid got away but you got beaten up.,The bullies now respect you.,Athletic
A hacker threatens to leak company data unless paid.,Report to cybersecurity team.,Ignore the threat.,Pay the ransom quietly.,5,3,Intelligence,You traced and stopped the hacker!,The data leaked but authorities were notified.,You enabled future attacks.,Technology
You find a wallet with $500 on the street.,Return it to the owner.,Keep the money.,Leave it there.,3,2,Money,The owner rewards you generously!,You returned it but got nothing.,You kept it all.,Communication
A neighbor's house is on fire.,Call 911 and help evacuate.,Start recording for social media.,Close your windows.,5,4,Health,You saved a family with first aid skills!,You helped but inhaled smoke.,You got viral fame but people died.,Medicine
Your friend asks you to help cheat on an exam.,Refuse and report it.,Help them cheat.,Pretend you didn't hear.,4,3,Intelligence,You tutored them instead and they passed!,You refused but they failed anyway.,You both got perfect scores.,Education
A corporation is dumping waste illegally.,Expose them publicly.,Accept a bribe to stay quiet.,Mind your own business.,5,2,Money,Your evidence led to prosecution!,You exposed them but faced lawsuits.,You got $10000 in hush money.,Government
You witness a hit-and-run accident.,Chase the driver and call police.,Drive away quickly.,Just call 911.,4,3,Health,Your driving skills helped catch them!,You tried but lost them.,You escaped unnoticed.,Athletic
A startup offers you equity to join.,Research and negotiate fairly.,Insider trade on the information.,Decline immediately.,3,4,Money,Your business sense got you great terms!,You joined but got bad equity.,You made illegal profits.,Business
Someone is spreading rumors about you online.,Address it with facts and grace.,Launch a smear campaign back.,Ignore it completely.,3,3,Mental Health,Your communication skills cleared everything!,You tried but it escalated.,You destroyed their reputation.,Communication
A stray dog approaches you injured.,Take it to a vet.,Kick it away.,Walk past it.,3,4,Money,Your volunteering connections helped you adopt it!,You spent $800 on vet bills.,It ran away scared.,Service
You discover your app has a security vulnerability.,Fix it and notify users immediately.,Sell the exploit information.,Hope nobody notices.,5,3,Intelligence,Your coding skills fixed it in hours!,You fixed it but users were already hacked.,You made $5000 from criminals.,Technology
A protest blocks your route to work.,Join and support the cause.,Drive through the crowd.,Take a different route.,4,2,Mental Health,Your public speaking inspired others!,You joined but got arrested.,You injured several people.,Communication
You find evidence your boss is embezzling.,Report to authorities with documentation.,Blackmail them for promotion.,Delete the evidence.,5,4,Money,Your law knowledge ensured conviction!,You reported but got fired.,You got promoted to VP.,Government
A child is choking in a restaurant.,Perform the Heimlich maneuver.,Film it for content.,Yell for someone else to help.,5,5,Health,Your medical training saved their life!,You tried but broke their rib.,The child died while you filmed.,Medicine
Your artwork could win a competition.,Submit your original work.,Steal someone else's design.,Don't enter at all.,3,3,Intelligence,Your art skills won first place!,You entered but came in last.,You won with stolen work.,Art
You see someone being harassed on the subway.,Intervene and de-escalate.,Join in the harassment.,Move to another car.,4,4,Mental Health,Your martial arts training intimidated them!,You intervened but got punched.,You made them cry.,Athletic
A company asks you to design a misleading ad.,Refuse and suggest ethical alternatives.,Create the deceptive ad.,Quit the job.,4,3,Money,Your design ethics impressed bigger clients!,You refused and lost the contract.,You made the ad and got a bonus.,Design
You discover a math error in a tax system.,Report it to help fix the issue.,Exploit it for personal gain.,Keep it secret.,4,3,Intelligence,Your math skills helped save millions!,You reported but no one believed you.,You evaded $20000 in taxes.,STEM
A friend is showing signs of addiction.,Encourage them to get help.,Enable their habit for fun.,Distance yourself quietly.,4,5,Mental Health,Your experience with recovery programs helped them!,You tried but they pushed you away.,You both became addicts.,Relaxation
Your engineering design has a dangerous flaw.,Halt production and redesign.,Ship it anyway to meet deadline.,Blame it on someone else.,5,4,Intelligence,Your engineering knowledge prevented disasters!,You delayed but saved lives.,The product killed three people.,Engineering
